Name,PCA,IncrementalPCA,RandomTreesEmbedding,SelectKBest,SpectralEmbedding,TruncatedSVD,LDA,LLE,KPCA,t-SNE
Apple_Stock_Price_Trends_(2014-2023)_did46420,0.363,0.363,0.3465,0.367,0.37,0.363,0.3595,0.36,0.349,0.363
CPMP-2015-runtime-classification_did41919,0.5180772686433064,0.5352021563342317,0.5179514824797844,0.5351123090745732,0.5123450134770889,0.5352021563342317,0.5029290206648697,0.5483917340521114,0.5161545372866128,0.5142857142857143
CastMetal1_did1447,0.8472261072261074,0.8472261072261074,0.8593006993006993,0.8716550116550117,0.8776689976689976,0.8472261072261074,0.8564102564102564,0.8806993006993007,0.8502564102564103,0.8562237762237762
CostaMadre1_did1446,0.8242937853107346,0.8242937853107346,0.8682485875706215,0.8749717514124293,0.8479661016949154,0.8242937853107346,0.8615254237288136,0.8817514124293785,0.8343502824858756,0.8444632768361583
Creditability-German-Credit-Data_did46416,0.7289999999999999,0.7289999999999999,0.7230000000000001,0.76,0.711,0.7289999999999999,0.682,0.682,0.735,0.7329999999999999
German-Credit-Data-Creditability-2_did46482,0.7289999999999999,0.7289999999999999,0.7230000000000001,0.76,0.711,0.7289999999999999,0.682,0.682,0.735,0.7329999999999999
Higgs_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44417,0.5455,0.5455,0.533,0.624,0.5519999999999999,0.5455,0.487,0.5486666666666666,0.5375,0.5535
MagicTelescope_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44397,0.749,0.749,0.747,0.7834999999999999,0.7370000000000001,0.7495,0.7515000000000001,0.7013333333333334,0.769,0.7585
MeanWhile1_did1449,0.8854901960784314,0.8854901960784314,0.8893333333333333,0.9050980392156862,0.8893333333333333,0.8854901960784314,0.8695686274509804,0.8972549019607843,0.8894117647058823,0.8894117647058823
MegaWatt1_did1442,0.8854901960784314,0.8854901960784314,0.8893333333333333,0.9050980392156862,0.8893333333333333,0.8854901960784314,0.8695686274509804,0.8972549019607843,0.8894117647058823,0.8894117647058823
PieChart1_did1451,0.900709219858156,0.900709219858156,0.9148936170212766,0.9234042553191488,0.90354609929078,0.900709219858156,0.900709219858156,0.9134751773049644,0.8992907801418439,0.9106382978723404
PizzaCutter1_did1443,0.9213146502620184,0.9213146502620184,0.92282980177717,0.9303941672362724,0.9152882205513786,0.9213146502620184,0.9213488266119846,0.9288790157211207,0.9258373205741626,0.922818409660515
Pumpkin_Seeds_did46951,0.8705,0.8705,0.869,0.8734999999999999,0.8745,0.8705,0.8135,0.8873333333333333,0.868,0.8714999999999999
SPECTF_did337,0.713416149068323,0.713416149068323,0.6818633540372672,0.8024430641821947,0.7363975155279503,0.7105590062111802,0.7767287784679089,0.7935817805383023,0.7880331262939959,0.7648447204968944
Titanic_did40704,0.738,0.738,0.747,0.7870000000000001,0.7505,0.7835000000000001,0.744,0.7766666666666667,0.7579999999999999,0.7709999999999999
air-quality-and-pollution-assessment_did46762,0.916,0.916,0.9055,0.9295,0.9245,0.9155,0.853,0.8113333333333334,0.9205,0.9275
